[ 2025-01-12 16:23:51,932 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-01-12 16:23:53,969 ] 14 root - INFO - Entered the start_data_ingestion of the TrainPipeline Class
[ 2025-01-12 16:23:53,969 ] 15 root - INFO - Getting the data from the mongoDb
[ 2025-01-12 16:23:53,969 ] 55 root - INFO - Initiating Data Ingestion
[ 2025-01-12 16:23:53,969 ] 23 root - INFO - Exporting data into MongoDb
[ 2025-01-12 16:23:54,219 ] 29 root - INFO - Database connection is successful
[ 2025-01-12 16:23:59,152 ] 26 root - INFO - Shape of the dataset: (25480, 12)
[ 2025-01-12 16:23:59,152 ] 30 root - INFO - Saving exported data into feature store file path: artifact/01_12_2025_16_23_53/data_ingestion/feature_store/usvisa.csv
[ 2025-01-12 16:23:59,245 ] 59 root - INFO - Got the data from MongoDB
[ 2025-01-12 16:23:59,245 ] 37 root - INFO - Entered split_data_as_train_and_test method of the Data Ingestion class
[ 2025-01-12 16:23:59,251 ] 41 root - INFO - Split the data frame successfully
[ 2025-01-12 16:23:59,251 ] 47 root - INFO - Exporting the data frame into train and test data frames
[ 2025-01-12 16:23:59,349 ] 50 root - INFO - Exported the data frame into train and test datasets
[ 2025-01-12 16:23:59,351 ] 63 root - INFO - Executed the train-test split
[ 2025-01-12 16:23:59,351 ] 64 root - INFO - Exited initiate_data_ingestion method of DataIngestion class
